key,value,qualifier,label,ci_low,ci_high,p_value,display,section,source
generations_total,1119,"Every row the table holds, across all splits and all serving stacks. It includes D11's 39 partial LC cells, which D13 retains as a paired backend-equivalence sample rather than as part of any arm, and the 24 output-gate refusals D12 keeps flagged, so it is not the number any comparison ran on — see `generations_analysed` below.",generations in `generation`,,,,"1,119","GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.A,180,By serving stack: ollama 180. 3 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them.,condition A,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.A2,180,By serving stack: ollama 180. 7 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them.,condition A2,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.B,180,By serving stack: ollama 180. 2 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them.,condition B,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.C,180,By serving stack: ollama 180. 2 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them.,condition C,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.LC,219,"By serving stack: ollama 39, vllm 180. 7 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them. D13: the LC ANALYSIS ARM IS `served_by = 'vllm'` AND NOTHING ELSE. The count above pools both stacks because it is a census of the table, not of the arm. The Ollama rows are D11's partial record — 39 cells over 13 of 60 scenarios, never randomised for partial analysis — kept only as a paired backend-equivalence sample. Condition C was served by Ollama, so the C-vs-LC comparison is confounded by serving stack and says so wherever it is printed.",condition LC,,,,219,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_condition.D,180,By serving stack: ollama 180. 3 of these were refused by the output gate and are counted here (D12); sensitivity analysis (d) in analysis.txt is the rerun that excludes them.,condition D,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_served_by.ollama,939,"The two stacks serve different artifacts of the same model family — a GGUF against HF safetensors — so `model` and `model_digest` alone cannot tell them apart and a count pooled across backends would hide the difference. A zero is printed rather than the row omitted, so a stack that produced nothing is visibly nothing rather than silently absent. Conditions produced by more than one stack on this run: LC. Any arm on that list is pooled across backends and must be checked for agreement before it is treated as one arm.",served by ollama,,,,939,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_by_served_by.vllm,180,"The two stacks serve different artifacts of the same model family — a GGUF against HF safetensors — so `model` and `model_digest` alone cannot tell them apart and a count pooled across backends would hide the difference. A zero is printed rather than the row omitted, so a stack that produced nothing is visibly nothing rather than silently absent. Conditions produced by more than one stack on this run: LC. Any arm on that list is pooled across backends and must be checked for agreement before it is treated as one arm.",served by vllm,,,,180,"GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
generations_scored,1119,"Rows in `generation` with at least one row in `rubric_score`. A generation without one was produced but never judged, and the difference from the total above is exactly that set.",generations with a rubric score,,,,"1,119","GENERATIONS — counted from `generation` itself, before any exclusion",carelite.stats.data.GENERATION_COUNTS_SQL
